0.1 	 0
0.2 	 251.25
0.3 	 167.5
0.4 	 586.25
0.5 	 879.375
0.6 	 628.125
0.7 	 1005
0.8 	 1340
0.9 	 1340
1 	 1340
1.1 	 1340
1.2 	 1298.12
1.3 	 1340
1.4 	 1340
1.5 	 1340
1.6 	 1298.12
1.7 	 1340
1.8 	 1340
1.9 	 167.5
2 	 0
2.1 	 0
2.2 	 0
2.3 	 0
2.4 	 0
2.5 	 1381.88
2.6 	 0
2.7 	 0
2.8 	 0
2.9 	 0
3 	 0
3.1 	 0
3.2 	 0
3.3 	 0
3.4 	 0
3.5 	 0
3.6 	 0
3.7 	 711.875
3.8 	 2135.62
3.9 	 7515
4 	 167.5
4.1 	 0
4.2 	 251.25
4.3 	 376.875
4.4 	 628.125
4.5 	 335
4.6 	 586.25
4.7 	 1298.12
4.8 	 1046.88
4.9 	 1340
5 	 1298.12
5.1 	 1340
5.2 	 1340
5.3 	 1340
5.4 	 1340
5.5 	 1298.12
5.6 	 1340
5.7 	 1340
5.8 	 1340
5.9 	 1298.12
6 	 1340
6.1 	 1340
6.2 	 1340
6.3 	 1340
6.4 	 1298.12
6.5 	 1340
6.6 	 1340
6.7 	 1340
6.8 	 1298.12
6.9 	 1340
7 	 1340
7.1 	 1340
7.2 	 1340
7.3 	 1298.12
7.4 	 1340
7.5 	 1340
7.6 	 1340
7.7 	 1298.12
7.8 	 1340
7.9 	 1340
8 	 1340
8.1 	 1340
8.2 	 1298.12
8.3 	 1340
8.4 	 1340
8.5 	 1340
8.6 	 1298.12
8.7 	 1340
8.8 	 1340
8.9 	 1340
9 	 1340
9.1 	 1298.12
9.2 	 1340
9.3 	 1340
9.4 	 1340
9.5 	 1298.12
9.6 	 1340
9.7 	 1340
9.8 	 1340
9.9 	 1340
