0.1 	 0
0.2 	 0
0.3 	 199.844
0.4 	 199.219
0.5 	 230.391
0.6 	 129.844
0.7 	 99.9219
0.8 	 174.844
0.9 	 204.766
1 	 119.766
1.1 	 79.9219
1.2 	 199.922
1.3 	 109.922
1.4 	 84.9219
1.5 	 154.844
1.6 	 89.7656
1.7 	 155
1.8 	 204.766
1.9 	 159.844
2 	 119.766
2.1 	 140
2.2 	 169.844
2.3 	 164.844
2.4 	 84.7656
2.5 	 150
2.6 	 89.7656
2.7 	 120
2.8 	 189.844
2.9 	 159.844
3 	 89.7656
3.1 	 159.844
3.2 	 199.922
3.3 	 159.844
3.4 	 119.766
3.5 	 150
3.6 	 159.844
3.7 	 84.9219
3.8 	 124.844
3.9 	 118.672
4 	 156.094
4.1 	 154.844
4.2 	 149.844
4.3 	 99.7656
4.4 	 199.922
4.5 	 119.766
4.6 	 159.688
4.7 	 160
4.8 	 150
4.9 	 89.6094
5 	 120.156
5.1 	 109.922
5.2 	 149.844
5.3 	 169.844
5.4 	 149.844
5.5 	 99.7656
5.6 	 199.922
5.7 	 118.672
5.8 	 151.094
5.9 	 129.844
6 	 179.844
6.1 	 79.9219
6.2 	 99.7656
6.3 	 79.9219
6.4 	 159.844
6.5 	 199.922
6.6 	 119.766
6.7 	 150
6.8 	 159.844
6.9 	 159.844
7 	 159.844
7.1 	 129.844
7.2 	 119.766
7.3 	 120
7.4 	 114.922
7.5 	 124.844
7.6 	 119.766
7.7 	 155
7.8 	 164.688
7.9 	 155
8 	 154.844
8.1 	 129.844
8.2 	 119.766
8.3 	 199.922
8.4 	 118.672
8.5 	 71.1719
8.6 	 149.844
8.7 	 99.2969
8.8 	 150.469
8.9 	 209.766
9 	 119.609
9.1 	 150.156
9.2 	 89.6094
9.3 	 230.078
9.4 	 159.844
9.5 	 89.7656
9.6 	 150
9.7 	 129.844
9.8 	 79.9219
9.9 	 159.844
